Image Array3 is:
(0:0:0)0.000000,(0:0:1)0.000004,(0:0:2)0.000010,
(1:0:0)0.000001,(1:0:1)0.000004,(1:0:2)0.000005,
(2:0:0)0.000004,(2:0:1)0.000015,(2:0:2)0.000005,
(3:0:0)0.000014,(3:0:1)0.000003,(3:0:2)0.000013,
(4:0:0)0.000001,(4:0:1)0.000000,(4:0:2)0.000010,
(0:1:0)0.000007,(0:1:1)0.000004,(0:1:2)0.000012,
(1:1:0)0.000001,(1:1:1)0.000007,(1:1:2)0.000010,
(2:1:0)0.000015,(2:1:1)0.000010,(2:1:2)0.000012,
(3:1:0)0.000009,(3:1:1)0.000001,(3:1:2)0.000013,
(4:1:0)0.000001,(4:1:1)0.000005,(4:1:2)0.000015,
(0:2:0)0.000001,(0:2:1)0.000000,(0:2:2)0.000000,
(1:2:0)0.000009,(1:2:1)0.000008,(1:2:2)0.000010,
(2:2:0)0.000011,(2:2:1)0.000006,(2:2:2)0.000006,
(3:2:0)0.000000,(3:2:1)0.000014,(3:2:2)0.000003,
(4:2:0)0.000013,(4:2:1)0.000008,(4:2:2)0.000015,
(0:3:0)0.000010,(0:3:1)0.000006,(0:3:2)0.000014,
(1:3:0)0.000004,(1:3:1)0.000008,(1:3:2)0.000004,
(2:3:0)0.000014,(2:3:1)0.000006,(2:3:2)0.000006,
(3:3:0)0.000011,(3:3:1)0.000005,(3:3:2)0.000006,
(4:3:0)0.000003,(4:3:1)0.000001,(4:3:2)0.000009,
(0:4:0)0.000010,(0:4:1)0.000007,(0:4:2)0.000013,
(1:4:0)0.000001,(1:4:1)0.000010,(1:4:2)0.000004,
(2:4:0)0.000011,(2:4:1)0.000013,(2:4:2)0.000003,
(3:4:0)0.000012,(3:4:1)0.000007,(3:4:2)0.000006,
(4:4:0)0.000002,(4:4:1)0.000008,(4:4:2)0.000007,
